adv_policy_vf,eplenmean,eprewmean,pro_policy_vf,test reward
9.847207,56.98,37.21130809481881,12.454667,33.26
16.08885,57.26,36.66031815265421,14.141827,29.82
5.882996,56.11,37.805981210195604,5.526416,27.8
30.321651,54.19,35.443680356666675,27.027014,32.08
7.1482015,53.86,37.199123736967394,6.272245,28.12
43.52953,53.33,32.8462010334972,37.9797,10.26
75.61752,52.45,28.293656805664426,76.34469,22.64
8.333393,53.44,26.29104907332253,7.8270392,28.74
34.488483,52.8,32.88409058298251,33.713577,26.76
42.31921,53.51,34.825544500769496,42.35347,33.74
27.301361,53.18,33.360423889219526,38.30401,26.24
7.314046,54.16,36.85795668193758,6.382753,30.22
17.017986,55.39,38.4162557835679,18.371132,30.62
43.956974,53.78,35.52606112477769,43.159996,29.14
29.726185,52.92,33.62184271578932,32.851223,25.34
20.832926,53.26,36.15779954656191,20.76684,32.36
37.049503,53.64,37.02960396464181,38.73152,30.74
24.089304,53.83,35.26961885069172,23.202528,33.52
9.454442,54.69,37.30554068553295,6.665316,32.56
6.929055,54.73,39.22057515391694,5.8024693,24.74
6.7960844,55.77,41.33097406295624,5.452312,32.64
7.1725245,56.47,39.29447089928928,8.066055,32.64
4.2144456,56.45,39.21639710383815,4.2625647,30.64
4.572593,56.19,40.8775489329844,4.8036776,30.82
23.395302,55.59,39.91644738579632,21.137278,34.08
5.0558715,55.8,39.85544689105142,4.5766125,31.58
21.998083,55.43,38.79114210774061,31.695387,28.96
36.9631,55.73,38.46980475164739,35.111614,31.82
14.769081,56.55,37.683947314577125,12.375829,27.8
16.558943,56.67,36.435410823413264,14.379972,33.86
4.8915977,55.26,38.90639244195718,4.3644867,32.56
5.1831164,54.82,40.717083229550916,4.7808585,34.7
3.724298,54.93,42.25474656236197,3.71089,34.72
4.317004,55.11,41.71246411704805,4.407879,34.6
3.7701678,56.02,41.0306237356424,3.897115,34.84
4.0122843,56.59,40.53702879829367,4.2091656,36.1
3.9938076,55.98,41.065476137593606,3.9808693,33.56
4.552239,56.15,41.11554564931511,4.0540037,35.22
3.4609478,56.81,40.88026384125493,3.6254182,32.8
3.6103892,57.55,40.16595840338973,3.9009836,34.06
3.4197645,57.32,40.094827480536104,3.573659,35.14
3.2996867,56.37,40.63679884085592,3.571237,33.52
3.153104,56.62,40.53439945430891,3.4709475,31.04
3.4489765,56.37,40.88140424266543,3.643983,33.78
3.3322146,56.18,40.9998689656132,3.4486945,34.12
19.497923,56.36,39.075067131104994,18.848986,33.82
15.928642,55.88,38.60042253538375,15.026528,35.5
4.3911743,54.99,39.56705478662987,3.9036524,32.54
4.0645638,55.0,41.03351250574626,4.1128416,32.56
3.1952431,55.38,41.983187115489585,3.3103118,33.26
3.4686234,55.87,41.41261538534627,3.6021838,31.4
